,Country,Passphrase
0,Moldova,be57ebc
1,Yemen,ed73b72
2,Antigua and Barbuda,d48f9dc
3,Papua New Guinea,d4ce504
4,Tonga,a868f01
5,Iraq,d11a477
6,The Gambia,6178190
7,Sudan,514823
8,Senegal,96063c0
9,Vietnam,bebe801
10,United Kingdom,c5e309d
11,Panama,dde0ab3
12,Belize,25aede8
13,Niger,92b0221
14,Nigeria,7.66E+06
15,Togo,1165a0b
16,Armenia,da090a6
17,Ecuador,1f1f360
18,Nauru,b93f47f
19,Samoa,3b3f08c
20,Sierra Leone,c2330ff
21,Gabon,83bb2f3
22,Egypt,8474897
23,Dominican Republic,680f67f
24,Honduras,792006f
25,Saint Lucia,022cdee
26,Oman,c6ce4e7
27,Australia,523d170
28,Peru,e0c89f1
29,Liberia,07237af
30,Guinea-Bissau,78f878b
31,Palau,3978bb4
32,Lithuania,2fdc597
33,Ukraine,a19204c
34,Slovenia,c5c206d
35,Democratic Republic of the Congo,4583fba
36,Denmark,786822e
37,Saint Kitts and Nevis,213875f
38,North Macedonia,5447f3a
39,Bahrain,8c3f251
40,El Salvador,45a8218
41,Liechtenstein,9fa5b80
42,Switzerland,f34360d
43,Bangladesh,3fc459e
44,Albania,73f9dfd
45,Comoros,a1023c5
46,Maldives,ccb7a64
47,Tajikistan,48cfa2d
48,Marshall Islands,3e3bcec
49,Malta,f42af79
50,Botswana,e9eda54
51,Chile,227d0d9
52,Pakistan,3cd71c8
53,Barbados,e8ed852
54,Spain,8f6121d
55,Czechia,693ae52
56,Mali,62d7580
57,Afghanistan,9f53ac0
58,Cameroon,e0a14e6
59,Brazil,804f8d7
60,Rwanda,e985142
61,Taiwan,a2803a5
62,Malawi,4939fde
63,Kenya,d5b377a
64,Cabo Verde,3a93080
65,Solomon Islands,eec198b
66,Burkina Faso,f9e8c74
67,Ethiopia,1a9bb2d
68,Morocco,70925c4
69,Hungary,a688e65
70,Syria,6a7ac71
71,Cuba,7ca864e
72,Mauritius,999e90c
73,Portugal,82429af
74,Dominica,c79e310
75,Tunisia,82c9c1a
76,Georgia,0aaf793
77,Poland,d00e42f
78,United Arab Emirates,74c0719
79,Nicaragua,bc74a19
80,Guinea,26f5a91
81,Nepal,5d350d4
82,Estonia,ce0b686
83,Cook Islands,a8fdeea
84,India,379d0ea
85,Latvia,c271de1
86,Colombia,7ab252d
87,Iceland,c4c4239
88,Central African Republic,6c2edc6
89,Canada,6e82cc6
90,Jamaica,24b9a63
91,Guatemala,4dd6f6c
92,Norway,5bc78a4
93,Holy See,52effc1
94,Singapore,07b63d3
95,Ireland,a346754
96,Serbia,c0ba74a
97,Italy,7e81536
98,Brunei,bf27565
99,Chad,e589cb4
100,Kyrgyzstan,4acb325
101,Seychelles,4133140
102,Equatorial Guinea,1a526e3
103,Finland,042924c
104,Costa Rica,3e25ed7
105,Greece,2f27d66
106,Zambia,5a82586
107,Malaysia,7d90678
108,Kosovo,f60d635
109,Thailand,859fe01
110,Sri Lanka,6568a84
111,Romania,c0a83a7
112,Namibia,ffb0142
113,Kiribati,de23042
114,France,8ddbdac
115,Bulgaria,89bd8bf
116,Saudi Arabia,2db79ee
117,Timor-Leste,2b928af
118,Uruguay,f770fce
119,Bolivia,9053a57
120,Bhutan,f50d7d0
121,Trinidad and Tobago,4f4e3e7
122,Eswatini,aa52b76
123,Indonesia,7c758b6
124,Micronesia,cf80969
125,Suriname,51eb253
126,Lesotho,df5301a
127,Guyana,d8ffc54
128,Saint Vincent and the Grenadines,6f4082c
129,Vanuatu,d482fd3
130,Haiti,6165495
131,Bosnia and Herzegovina,af5d8da
132,Kuwait,dbd96cd
133,Mozambique,272c4f8
134,Laos,821bbeb
135,Turkmenistan,f7f6bde
136,Ghana,2d154d6
137,Angola,a66fd3c
138,Djibouti,7ae9d05
139,Cyprus,ef6b07c
140,Argentina,fe942fa
141,Fiji,eb9bf61
142,Andorra,bdee813
143,Croatia,bc289a8
144,Monaco,5be0008
145,South Africa,6937ebe
146,Tuvalu,27dff71
147,Somalia,cc15075
148,Venezuela,1ca87e9
149,Lebanon,6eb8bd7
150,Libya,b56dd72
151,Montenegro,b1b17d7
152,Mongolia,7d9e246
153,Algeria,b767906
154,The Bahamas,0f270bb
155,Sao Tome and Principe,2bd8da1
156,Republic of the Congo,ab851ad
157,Burma,1c98919
158,Burundi,2dff93c
159,CÃ´te dâ€™Ivoire,0b88a13
160,Luxembourg,e3cd53c
161,Netherlands,3297831
162,Philippines,2eb383f
163,Japan,3ca143d
164,Azerbaijan,80af12d
165,Paraguay,3fac284
166,Cambodia,e180769
167,Uganda,57b9bd1
168,Austria,7ff69bb
169,Mexico,a06244c
170,Zimbabwe,85aebce
171,Belgium,9b1c515
172,South Korea,3f4bd91
173,Uzbekistan,d09a419
174,Madagascar,6a93030
175,Grenada,5d4fb75
176,Germany,439ca7c
177,San Marino,eaf5c47
178,South Sudan,90433cb
179,Slovakia,3587397
180,New Zealand,43534ca
181,Sweden,2880775
182,Qatar,98b0239
183,Turkey (TÃ¼rkiye),d02ee6b
184,Benin,bd319a1
185,Kazakhstan,b62020e
186,Tanzania,abd1a10
187,Jordan,6fb5b3d
188,Mauritania,8ccf116
189,Eritrea,7a9c344
190,Belarus,2cda16f
